"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"561","RT @Morning_Joe: .@BernieSanders sets his sights on New Hampshire and beyond. Tune in TOMORROW! #morningjoe https://t.co/kMW818Ap59",FALSE,0,NA,2016-02-02 23:52:18,FALSE,NA,"694669703713677312",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JaimeRuiz32",505,TRUE,FALSE,NA,NA
"562","@BernieSanders fear she feels, win we will ! #MayTheForceBeWithUs #NotMeUs #WorldCitizen",FALSE,0,"BernieSanders",2016-02-02 23:52:17,FALSE,"694667209797316608","694669699104268288","216776631","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BenGrjn",0,FALSE,FALSE,NA,NA
"563","RT @BernieSanders: The American people are ready to stand up and fight for fundamental change on how politics is done. #nhpolitics https://…",FALSE,0,NA,2016-02-02 23:52:16,FALSE,NA,"694669696218562560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nyanta1108",1227,TRUE,FALSE,NA,NA
"564","RT @VoicesDementia: Why is @cnn and @msnbc still talking a lot about Trump and Clinton than @BernieSanders? #FeelTheBern",FALSE,0,NA,2016-02-02 23:52:14,FALSE,NA,"694669689490767872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sayarita",1,TRUE,FALSE,NA,NA
"565","RT @BernieSanders: The American people are ready to stand up and fight for fundamental change on how politics is done. #nhpolitics https://…",FALSE,0,NA,2016-02-02 23:52:13,FALSE,NA,"694669683467915267",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","wiltonrocha87",1227,TRUE,FALSE,NA,NA
"566","RT @BernieSanders: Last night, we began the political revolution not just in Iowa, not just in New Hampshire but all over this nation. http…",FALSE,0,NA,2016-02-02 23:52:12,FALSE,NA,"694669679382679553",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EnviroChem",2185,TRUE,FALSE,NA,NA
"567","Extremely comprehensive visionary pragmatist @BernieSanders #brilliant #Bernie2016",FALSE,0,NA,2016-02-02 23:52:12,FALSE,NA,"694669679281897472",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ejwensing",0,FALSE,FALSE,NA,NA
"568","@BernieSanders you need to get tougher.  Point these things out.  If you want to stand up to Wall St start with Hillary",FALSE,4,"BernieSanders",2016-02-02 23:52:12,FALSE,"694667209797316608","694669678203969537","216776631","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TArgondizza",0,FALSE,FALSE,NA,NA
"569","@BernieSanders What's the rest of that clip look like? Kinda underhanded to cut her off mid-sentence.",FALSE,0,"BernieSanders",2016-02-02 23:52:11,FALSE,"694667209797316608","694669676966744064","216776631","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Damadar",0,FALSE,FALSE,NA,NA
"570","RT @BernieSanders: Last night, we began the political revolution not just in Iowa, not just in New Hampshire but all over this nation. http…",FALSE,0,NA,2016-02-02 23:52:10,FALSE,NA,"694669670645788673",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JSithavady",2185,TRUE,FALSE,NA,NA
