"","x"
"1113","fingeronthebutton"
"1114","finish"
"1115","fire"
"1116","firing"
"1117","fit"
"1118","fitn"
"1119","fits"
"1120","flatrumpertantrum"
"1121","flipped"
"1122","florida"
"1123","flow"
"1124","flush"
"1125","followers"
"1126","followme"
"1127","fool"
"1128","foolery"
"1129","foolish"
"1130","fools"
"1131","forced"
"1132","foreign"
"1133","forget"
"1134","forgets"
"1135","fork"
"1136","form"
"1137","forthright"
"1138","fox"
"1139","foxnews"
"1140","foxwaaa"
"1141","fraudulent"
"1142","freakout"
"1143","frickin"
"1144","friedand"
"1145","friends"
"1146","front"
"1147","frozen"
"1148","fsbohomeowners"
"1149","fuckin"
"1150","fucks"
"1151","fuckwhistle"
"1152","funded"
"1153","fundraiser"
"1154","funnystuff"
"1155","funnytrumpertantrum"
"1156","fury"
"1157","g"
"1158","gained"
"1159","gameinsight"
"1160","gawd"
"1161","georgetown"
"1162","getting"
"1163","gift"
"1164","gifthefeeling"
"1165","giggle"
"1166","giggly"
"1167","gilligans"
"1168","given"
"1169","givenno"
"1170","gives"
"1171","glenn"
"1172","gloat"
"1173","glory"
"1174","glove"
"1175","godwins"
"1176","gold"
"1177","gone"
"1178","goodolpolitics"
"1179","google"
"1180","gopclowncar"
"1181","gopdebate"
"1182","gophurtsamerica"
"1183","gops"
"1184","gopummmmmenough"
"1185","gore"
"1186","gospeluntil"
"1187","government"
"1188","governmenttrumpertantrum"
"1189","govt"
"1190","gr8"
"1191","graceful"
"1192","graham"
"1193","grandchildren"
"1194","granted"
"1195","grapes"
"1196","greatest"
"1197","green"
"1198","grey"
"1199","grimlyamp"
"1200","gripe"
"1201","grow"
"1202","growapair"
"1203","gtfo"
"1204","guess"
"1205","guessing"
"1206","guilty"
"1207","gut"
"1208","guydonaldtrump"
"1209","haberdashery"
"1210","hahahahahaha"
"1211","hahatrumpertantrum"
"1212","hai"
"1213","hairgoals"
"1214","hairness"
"1215","haiti"
"1216","half"
"1217","hampshire"
"1218","hand"
"1219","harder"
"1220","hardhe"
"1221","harry"
"1222","harsh"
"1223","harshest"
"1224","hash"
"1225","hasnt"
"1226","hastag"
"1227","hat"
"1228","hated"
"1229","haters"
"1230","havent"
"1231","heading"
"1232","headtrumpertantrum"
"1233","health"
"1234","heatyada"
"1235","heavily"
"1236","heeeeellllll"
"1237","heir"
"1238","held"
"1239","helping"
"1240","heres"
"1241","hey"
"1242","hi"
"1243","hiding"
